Direccion;Codigo_Telefonico;Telefono;Correo electrónico;Fecha de alta;ID_CLIENTE;ID_TIPOS
London;258;518-2594;slaff@me.com;2006/03/09;721;3
4 Mill Road;859;270-2403;kjohnson@gmail.com;2019/04/14;722;1
SW50 4KB;611;486-5321;weazelman@icloud.com;2013/05/04;723;4
London;768;652-3949;ivoibs@icloud.com;2014/12/14;724;4
11 The Avenue;998;487-9102;atmarks@aol.com;2015/04/23;725;1
NW16 9IB;253;321-2154;hermanab@live.com;2012/02/20;726;1
London;532;409-6324;matty@yahoo.ca;2019/04/30;727;1
76 Queensway;661;728-1691;enintend@verizon.net;2016/05/24;728;1
WC10 3BR;570;540-0876;dsugal@me.com;2011/02/23;729;1
London;433;516-7191;openldap@outlook.com;2020/03/26;730;1
24 Kings Road;535;857-6686;lishoy@comcast.net;2008/11/09;731;3
WC58 1WY;849;782-9869;temmink@optonline.net;2016/10/04;732;4
London;561;625-6255;wildixon@optonline.net;2016/05/10;733;4
94 New Road;654;705-7739;peoplesr@outlook.com;2005/11/12;734;1
NW54 0QY;712;820-6745;psichel@aol.com;2013/11/28;735;1
London;259;838-4855;wilsonpm@aol.com;2005/07/26;736;2
73 Chester Road;824;717-6847;mlewan@live.com;2012/10/22;737;2
SE36 8WH;366;665-1941;okroeger@yahoo.com;2012/06/14;738;3
London;305;495-3592;jgmyers@att.net;2014/03/17;739;2
386 Richmond Road;602;659-7572;torgox@verizon.net;2012/02/08;740;3
EC70 8TD;689;239-4563;eurohack@verizon.net;2008/10/26;741;1
London;207;205-4139;grinder@mac.com;2014/07/17;742;1
16 George Street;516;973-1052;mallanmba@comcast.net;2015/01/21;743;1
NW01 6ER;556;265-3355;martyloo@sbcglobal.net;2016/03/15;744;1
London;630;838-5414;smcnabb@yahoo.com;2014/10/15;745;4
93 St. John’s Road;762;570-3297;msherr@yahoo.ca;2014/04/30;746;4
N10 2EQ;283;766-9356;grothoff@icloud.com;2017/10/18;747;1
London;750;486-9536;budinger@icloud.com;2018/11/17;748;4
5 Church Road;619;353-7970;arathi@comcast.net;2016/10/30;749;3
SE07 3LY;961;219-0829;dpitts@sbcglobal.net;2020/01/07;750;4
London;209;879-1264;osaru@me.com;2021/03/25;751;1
213 The Drive;332;532-0822;jramio@gmail.com;2011/07/05;752;1
NW58 3QB;487;640-6779;kudra@comcast.net;2012/05/28;753;3
London;536;366-2187;yruan@icloud.com;2009/03/06;754;1
28 Victoria Street;363;544-2841;petersen@msn.com;2005/03/22;755;2
SW80 9JL;461;271-1631;jbearp@sbcglobal.net;2011/11/22;756;1
London;857;335-5320;kjohnson@mac.com;2012/03/26;757;3
27 Church Road;634;371-1153;jaesenj@comcast.net;2007/08/05;758;4
WC52 1ML;439;244-2458;offthelip@yahoo.ca;2018/02/11;759;1
London;320;535-5081;jeffcovey@me.com;2017/10/28;760;1
40 Woodland Dr.;993;964-1956;pgolle@aol.com;2010/01/03;761;2
9453 South Pineknoll Drive;748;245-9826;mdielmann@verizon.net;2007/03/02;762;3
847 S. Manor St.;381;532-2238;gerlo@optonline.net;2016/04/04;763;1
7071 Third St.;907;754-8902;sarahs@verizon.net;2013/06/30;764;1
8215 Atlantic St.;531;907-4416;galbra@comcast.net;2013/09/21;765;2
735 N. Yukon Street;572;498-8666;kaiser@comcast.net;2010/11/19;766;1
3 Holly Ave.;716;425-2898;kildjean@hotmail.com;2014/08/31;767;1
770 Carson St.;762;419-8629;cliffordj@yahoo.ca;2018/05/03;768;1
47 Honey Creek Lane;280;675-9489;breegster@outlook.com;2019/04/14;769;1
89 West Lakeview Dr.;634;550-6646;calin@comcast.net;2019/02/12;770;4
541 S. State Dr.;527;606-6801;sfoskett@att.net;2009/10/17;771;2
8759 Tanglewood Dr.;465;963-8317;singer@att.net;2005/04/26;772;1
9283 High Ridge Drive;659;984-6638;vsprintf@att.net;2020/05/19;773;1
582 Honey Creek Road;962;381-3510;mhassel@msn.com;2010/01/08;774;3
847 West Jockey Hollow Court;576;978-9774;weidai@sbcglobal.net;2012/04/02;775;2
720 Paris Hill St.;721;881-8367;quantaman@msn.com;2021/05/03;776;1
61 Bridle St.;812;855-9668;timtroyr@gmail.com;2019/08/25;777;3
9555 Purple Finch Dr.;819;268-2557;papathan@att.net;2013/07/29;778;1
8473 South Lilac Court;398;878-0122;jyoliver@att.net;2013/09/17;779;2
855 Colonial St.;301;631-9640;steve@sbcglobal.net;2021/04/22;780;1
48 Sunbeam St.;891;535-5328;falcao@live.com;2021/03/13;781;4
440 Cactus St.;576;200-5761;wildfire@mac.com;2015/01/06;782;2
36 NW. Pierce St.;654;407-4012;pfitza@comcast.net;2011/08/14;783;2
832 Lake Forest Rd.;599;743-9003;staffelb@mac.com;2010/03/30;784;1
810 10th St.;240;906-5404;chaffar@live.com;2019/11/12;785;2
268 E. Penn Circle;455;626-4301;bmidd@gmail.com;2011/02/26;786;1
606 Galvin Street;493;311-8669;north@live.com;2020/12/19;787;1
940 Riverside Court;758;602-4935;scottzed@gmail.com;2011/02/11;788;4
9485 S. Pheasant Dr.;390;779-8899;jramio@icloud.com;2006/09/18;789;2
54 Indian Summer Street;487;438-4975;wagnerch@yahoo.com;2011/09/14;790;4
719 Center Ave.;659;904-0068;nighthawk@aol.com;2019/06/15;791;4
91 SE. Pierce Ave.;721;772-9718;pthomsen@yahoo.com;2006/06/18;792;4
73 Alderwood St.;471;210-6992;nelson@yahoo.com;2009/07/29;793;1
9163 South Oxford Ave.;435;955-2960;augusto@gmail.com;2012/03/21;794;1
8478 West St.;323;803-5626;jrifkin@outlook.com;2008/01/23;795;1
8142 Lees Creek Rd.;507;934-7625;pgolle@outlook.com;2019/04/27;796;1
70 Green Hill Drive;532;766-7644;sekiya@live.com;2015/06/04;797;3
9983 Woodside Street;772;757-3738;airship@verizon.net;2006/07/29;798;1
23 Tarkiln Hill Avenue;887;277-6652;credmond@hotmail.com;2009/10/04;799;2
7241 Cemetery Ave.;725;408-3080;parrt@outlook.com;2006/06/19;800;2
85 Lookout Ave.;845;673-0453;mwandel@att.net;2010/05/14;801;3
37 Fairview Ave.;962;741-6475;lamprecht@live.com;2011/02/17;802;2
91 Annadale Road;396;942-3896;fudrucker@live.com;2015/01/31;803;1
81 Bohemia Lane;672;429-8285;ntegrity@aol.com;2015/11/30;804;1
749 N. Beechwood Ave.;524;528-5199;shaffei@outlook.com;2014/01/25;805;1
759 E. Foxrun Ave.;422;560-9699;tellis@yahoo.com;2015/11/15;806;1
242 East 8th Lane;879;980-7282;mcraigw@yahoo.ca;2011/09/20;807;1
8133 SE. Augusta Ave.;372;654-9387;clkao@outlook.com;2012/02/24;808;4
8497 3rd St.;933;613-2582;kwilliams@icloud.com;2010/11/04;809;4
9045 Poor House Lane;365;278-8056;munson@icloud.com;2012/09/19;810;4
71 Cambridge Lane;588;897-0633;nwiger@aol.com;2013/04/06;811;4
8117 Birch Hill Rd.;303;754-3969;epeeist@gmail.com;2020/08/09;812;1
9140 Carpenter St.;311;963-9615;krueger@comcast.net;2019/05/02;813;4
538 Cross Street;777;720-1143;dsugal@live.com;2008/12/14;814;4
919 Princeton St.;741;758-2688;tellis@me.com;2015/07/22;815;2
17 Ashley Street;802;484-9409;inico@aol.com;2019/05/04;816;1
682 Glenwood Street;641;921-8831;bebing@optonline.net;2005/07/14;817;3
94 Beach St.;954;421-2884;jdray@aol.com;2016/08/04;818;2
26 East Main Dr.;954;956-0103;irving@sbcglobal.net;2014/04/17;819;4
373 Bear Hill St.;295;983-4853;andersbr@hotmail.com;2007/01/24;820;3
497 Maiden Street;253;483-2574;parrt@yahoo.ca;2020/08/27;821;1
741 Ann Ave.;244;616-3629;cliffski@live.com;2009/10/30;822;1
23 Kent St.;586;717-5632;mlewan@att.net;2010/08/27;823;1
4 Fairground Avenue;890;780-5763;dwsauder@yahoo.com;2016/01/06;824;1
20 Deerfield Lane;958;671-5221;djupedal@yahoo.com;2005/12/01;825;3
9618 Lower River St.;203;272-8879;dpitts@mac.com;2005/03/10;826;2
50 New Rd.;412;374-4809;kevinm@live.com;2020/09/01;827;3
534 Clinton Street;700;831-5400;okroeger@gmail.com;2006/04/13;828;1
56 Marsh Drive;536;847-4736;smpeters@optonline.net;2006/10/29;829;4
901 Belmont Street;853;399-2912;balchen@aol.com;2010/01/10;830;3
34 West Pleasant St.;719;895-4064;marin@att.net;2019/04/11;831;4
61 Fulton Street;579;455-3524;bdthomas@yahoo.ca;2018/04/27;832;2
38 Nut Swamp St.;952;284-4700;sartak@outlook.com;2016/12/02;833;3
505 Evergreen Dr.;819;878-4303;jmmuller@yahoo.com;2012/05/26;834;3
353 Sherman St.;467;290-0508;bowmanbs@me.com;2019/10/04;835;2
764 New St.;590;409-5907;parsimony@live.com;2012/07/08;836;1
2 Delaware Lane;266;570-8715;weazelman@optonline.net;2018/04/15;837;3
940 S. Thomas Ave.;471;733-8756;dexter@aol.com;2017/07/11;838;1
8459 Wagon Road;616;501-9475;avalon@att.net;2015/03/18;839;1
815 Victoria Ave.;814;815-8592;mgemmons@optonline.net;2018/10/15;840;3
7019 Maple St.;628;340-8842;djpig@aol.com;2018/02/01;841;4
7328 Marsh St.;994;397-7201;bartak@comcast.net;2021/05/07;842;4
7379 Nut Swamp Dr.;644;968-4427;jmcnamara@yahoo.com;2005/12/02;843;3
67 Bald Hill St.;549;850-2390;aibrahim@comcast.net;2017/04/28;844;3
4 Proctor Ave.;506;841-6393;duncand@yahoo.com;2014/04/03;845;3
9 Lake St.;340;492-0275;bdbrown@att.net;2017/02/11;846;4
501 Foster Ave.;383;357-1843;dburrows@comcast.net;2014/10/18;847;1
7652 Lakeshore Court;405;559-9778;monkeydo@att.net;2018/08/29;848;1
490 Beacon St.;268;398-7609;amichalo@verizon.net;2017/01/27;849;3
9050 West Catherine Dr.;310;577-6728;gravyface@aol.com;2012/05/21;850;2
8438 Joy Ridge Drive;811;765-3302;webdragon@msn.com;2019/08/03;851;2
9656 Beaver Ridge St.;403;928-7118;matthijs@me.com;2021/05/06;852;1
106 Market Ave.;607;905-6893;kidehen@msn.com;2009/01/20;853;1
8615 W. Pine Lane;384;958-4888;rjones@yahoo.com;2021/05/10;854;2
9323 E. Old York St.;324;284-9902;zavadsky@yahoo.ca;2016/11/01;855;4
8819 Oak Ave.;836;752-4390;jaesenj@icloud.com;2012/05/20;856;1
9910 Essex St.;574;870-1271;smcnabb@mac.com;2011/07/31;857;1
142 Windfall St.;422;535-5367;sagal@outlook.com;2020/10/01;858;4
9809 Gates Street;415;828-3663;dwendlan@gmail.com;2005/07/21;859;3
510 West Homewood Ave.;415;947-3697;nweaver@att.net;2006/05/11;860;3
9 Nut Swamp Road;655;247-5450;odlyzko@icloud.com;2007/07/28;861;3
52 Glenridge Street;726;230-1885;jipsen@mac.com;2020/03/19;862;1
8788 Birchpond Circle;301;446-4931;bogjobber@outlook.com;2020/08/12;863;4
559 Young St.;205;948-8280;benanov@att.net;2019/09/16;864;3
114 Carriage Lane;216;341-9188;rnewman@verizon.net;2018/12/02;865;1
328 E. Windfall Ave.;922;668-4401;oracle@hotmail.com;2014/06/18;866;2
9123 Shub Farm Road;929;916-9742;ianbuck@yahoo.com;2013/12/12;867;3
120 Whitemarsh St.;294;465-2217;hampton@hotmail.com;2018/02/03;868;3
9690 Princess Ave.;358;731-3798;boomzilla@sbcglobal.net;2021/01/07;869;3
8948 St Louis Ave.;352;604-1886;bulletin@att.net;2021/02/01;870;1
748 East Brown St.;316;723-5488;animats@msn.com;2021/01/19;871;4
679 Oak Meadow Ave.;900;365-3438;dieman@mac.com;2006/07/11;872;4
490 W. Vernon Street;232;995-8639;augusto@yahoo.com;2014/02/02;873;1
279 Magnolia Avenue;713;359-4317;dunstan@outlook.com;2019/05/02;874;4
9589 Thorne Ave.;206;847-8774;mhoffman@sbcglobal.net;2015/09/17;875;1
899 Shipley Ave.;411;376-4315;weazelman@gmail.com;2016/07/26;876;4
46 Victoria Court;938;721-2256;mirod@icloud.com;2009/11/20;877;1
8664 Oak Valley Drive;419;442-9188;yangyan@msn.com;2017/07/23;878;1
922 West Leeton Ridge St.;763;952-1502;benits@optonline.net;2013/07/12;879;1
7880 Leeton Ridge Avenue;723;961-1436;oevans@aol.com;2010/10/27;880;1
92 Marvon St.;233;477-9648;sfoskett@yahoo.com;2010/07/01;881;1
905 Wrangler Lane;347;835-6563;catalog@hotmail.com;2012/07/30;882;3
9096 Clark Lane;732;949-7420;preneel@verizon.net;2016/11/28;883;4
9783 Poplar Street;334;788-2547;drezet@msn.com;2016/09/19;884;1
744 Coffee Ave.;355;952-4381;symbolic@mac.com;2009/02/28;885;2
10 Rockwell Road;875;650-4506;melnik@mac.com;2021/01/06;886;4
395 W. Coffee St.;650;311-4823;vertigo@optonline.net;2016/06/26;887;4
499 Second Dr.;944;439-2624;odlyzko@outlook.com;2008/09/27;888;1
56 Nut Swamp Circle;283;827-0141;nachbaur@yahoo.com;2014/05/22;889;1
943 Holly Ave.;975;594-0844;cumarana@att.net;2020/01/20;890;1
9752 Blackburn Dr.;990;738-6040;donev@outlook.com;2016/02/16;891;1
8821 Rockville Lane;770;545-8863;hutton@me.com;2006/08/26;892;4
6 Newport Court;334;305-7194;corrada@mac.com;2014/03/20;893;4
309 South Hill Field St.;602;467-4837;chinthaka@aol.com;2012/02/21;894;1
7363 St Louis Street;939;500-3265;cgreuter@yahoo.com;2007/04/10;895;3
8877 Selby Rd.;987;536-2384;ateniese@hotmail.com;2008/11/18;896;3
35 Airport Street;730;738-3338;mcmillan@optonline.net;2006/06/16;897;1
858 Primrose Lane;330;201-7051;gilmoure@yahoo.ca;2010/12/19;898;2
824 Woodside Avenue;932;338-3282;mbrown@live.com;2010/12/06;899;2
917 NW. Leatherwood Court;878;237-0878;qmacro@verizon.net;2011/01/20;900;3
21 Creek Drive;403;429-9891;staikos@gmail.com;2019/12/19;901;4
39 Goldfield Rd.;705;444-0556;knorr@comcast.net;2019/10/14;902;1
972 Stillwater St.;879;591-2306;gavinls@verizon.net;2015/08/08;903;4
86 Logan Dr.;467;399-9709;scarolan@aol.com;2008/04/02;904;2
88 Maple Circle;744;598-1150;hutton@comcast.net;2005/12/06;905;4
31 Studebaker St.;857;769-7335;pizza@gmail.com;2015/06/09;906;1
34 E. Lafayette Court;894;916-8764;mobileip@yahoo.ca;2016/03/24;907;1
2 Ridgeview Dr.;546;437-8882;horrocks@yahoo.com;2005/06/15;908;3
75 Jefferson Lane;928;743-6374;sarahs@aol.com;2021/02/20;909;2
5 Circle Dr.;751;725-0334;fluffy@aol.com;2008/05/26;910;3
612 Silver Spear Dr.;453;596-2200;jeffcovey@optonline.net;2007/05/05;911;1
8627 Bayberry Street;623;788-7862;naoya@outlook.com;2020/04/13;912;3
4 Bank Dr.;920;438-1880;staikos@optonline.net;2019/11/08;913;1
8579 Greenview St.;752;297-5212;mrobshaw@me.com;2017/07/09;914;1
8483 Sugar Ave.;693;681-7202;ajlitt@outlook.com;2021/04/13;915;2
8995 Rockledge Street;455;437-3253;dawnsong@icloud.com;2010/12/15;916;4
9834 Pennington Ave.;212;757-8062;mirod@aol.com;2015/02/24;917;2
14 Charles Ave.;904;210-8504;uraeus@aol.com;2006/03/09;918;1
178 Oakland Lane;203;626-2113;treeves@comcast.net;2010/09/17;919;1
7690 Glenridge Street;671;220-0042;gknauss@outlook.com;2018/02/07;920;1
9105 E. Bayberry Avenue;547;966-8598;duncand@mac.com;2005/04/14;921;4
8489 Colonial St.;623;913-9558;marioph@mac.com;2006/02/05;922;1
7266 Shady Drive;715;291-1286;unreal@aol.com;2019/06/15;923;3
493 Summer Avenue;354;237-3268;mdielmann@yahoo.ca;2019/11/17;924;4
254 Kingston Street;269;935-1685;kuparine@msn.com;2015/07/23;925;4
37 Garfield Dr.;646;203-3225;pfitza@live.com;2007/08/17;926;2
92 Peg Shop Rd.;806;938-4587;comdig@yahoo.ca;2005/04/01;927;4
457 Orange Street;633;955-6590;sfoskett@verizon.net;2008/01/01;928;1
62 Swanson Dr.;987;947-7889;techie@gmail.com;2006/02/03;929;1
269 Hartford St.;946;604-6365;kjetilk@live.com;2011/12/31;930;2
15 East Richardson Drive;696;763-2316;kourai@me.com;2014/11/11;931;1
859 Foxrun Ave.;461;831-9487;kempsonc@aol.com;2015/02/24;932;2
6 Monroe Ave.;695;531-1875;joglo@optonline.net;2006/09/08;933;2
7465 Rosewood Road;936;854-3061;pakaste@msn.com;2010/04/12;934;4
85 Brewery Lane;691;840-0840;facet@gmail.com;2010/10/31;935;1
8987 Tunnel Court;810;733-6823;lstaf@me.com;2015/11/02;936;2
618 North Park Drive;392;721-3723;vganesh@hotmail.com;2012/03/31;937;3
749 Honey Creek St.;244;975-9008;seebs@gmail.com;2018/08/30;938;1
401 Arcadia St.;574;310-1480;baveja@msn.com;2010/08/12;939;1
61 Aspen Street;562;687-6697;jdhedden@me.com;2007/07/02;940;3
8842 Albany Dr.;362;958-3945;nimaclea@mac.com;2006/08/09;941;3
7761 Glenridge St.;425;692-2477;wikinerd@msn.com;2012/01/01;942;4
7542 Logan Ave.;844;204-7819;suresh@sbcglobal.net;2008/04/10;943;1
906 North Marshall Drive;707;398-6865;mhassel@outlook.com;2014/10/30;944;2
566 Old Windsor Street;469;519-2773;mcsporran@hotmail.com;2014/10/14;945;4
363 Carson Lane;592;732-7144;lcheng@outlook.com;2014/09/21;946;3
8046 Clay Street;602;356-3808;weidai@att.net;2012/06/03;947;1
36 South Lake Forest Lane;640;568-0785;jpflip@hotmail.com;2011/04/24;948;3
437 Jockey Hollow Dr.;400;512-4755;samavati@me.com;2014/04/20;949;1
135 Airport Ave.;415;935-8378;smpeters@gmail.com;2018/01/30;950;4
8857 Gonzales Street;664;297-3908;cosimo@live.com;2012/06/28;951;2
9538 South Wall St.;843;208-4225;bdbrown@yahoo.ca;2008/06/03;952;2
8478 Vernon Lane;336;204-3889;psharpe@me.com;2009/09/05;953;4
7133 E. West St.;911;488-1913;moxfulder@sbcglobal.net;2019/01/17;954;3
26 Sycamore Street;535;815-9607;tattooman@comcast.net;2009/06/02;955;3
746 Marsh Ave.;295;730-6919;scottzed@live.com;2007/12/30;956;1
53 Cedarwood St.;743;483-8112;hampton@me.com;2006/11/28;957;2
86 N. Poor House Ave.;831;249-5449;clkao@yahoo.com;2016/10/26;958;1
7017 Walt Whitman Street;960;905-6170;amaranth@mac.com;2019/12/15;959;1
7952 Durham St.;214;703-7189;pemungkah@verizon.net;2006/06/25;960;1
7788 S. Princeton Court;944;933-0069;joehall@gmail.com;2006/12/21;961;2
7707 Beech Ave.;429;932-6260;dexter@yahoo.ca;2017/10/11;962;2
9307 Riverside Dr.;922;644-8881;mbswan@optonline.net;2008/10/13;963;3
954 S. Nichols Rd.;405;986-6020;ntegrity@hotmail.com;2020/09/27;964;2
584 Pumpkin Hill Dr.;890;409-6135;kawasaki@att.net;2008/12/11;965;1
9799 E. Pumpkin Hill Lane;252;913-1668;library@yahoo.com;2018/04/07;966;3
60 Thatcher Court;622;688-5821;kramulous@yahoo.ca;2013/06/03;967;1
8606 Edgewood Lane;255;804-7439;neonatus@comcast.net;2006/02/12;968;2
8408 Broad Ave.;815;908-2066;jpflip@aol.com;2013/07/28;969;4
417 Nut Swamp Lane;601;823-1097;jnolan@att.net;2005/05/29;970;4
638 Jennings Street;297;326-4044;snunez@optonline.net;2018/08/26;971;2
307 Fairview Avenue;952;610-9397;sarahs@mac.com;2009/04/09;972;2
9182 Market St.;773;942-8792;mosses@yahoo.ca;2018/07/13;973;3
55 Lake Forest Drive;516;557-3412;parkes@att.net;2016/02/25;974;2
1 Plymouth St.;921;425-7436;rgiersig@outlook.com;2017/01/27;975;3
8279 Main Street;689;655-6058;kevinm@me.com;2015/10/14;976;1
918 Fordham St.;671;524-5360;notaprguy@outlook.com;2012/02/29;977;1
508 Cypress St.;910;903-9965;johnh@gmail.com;2018/01/14;978;1
24 Railroad Court;904;731-9687;erynf@mac.com;2018/11/06;979;3
634 Rockaway St.;455;701-2540;jginspace@optonline.net;2007/10/30;980;1
957 South Arcadia Street;864;567-3221;terjesa@att.net;2018/12/06;981;2
750 Vernon Ave.;241;803-9393;hermes@optonline.net;2013/01/10;982;1
35 Miller St.;237;839-2784;hutton@me.com;2010/12/24;983;2
7545 Yukon Street;362;504-0521;jguyer@icloud.com;2018/11/26;984;1
75 Victoria St.;205;311-7938;iamcal@me.com;2015/04/27;985;1
7654 Creek St.;459;473-8039;wkrebs@icloud.com;2018/06/05;986;2
829 Devonshire Street;956;901-0189;msherr@mac.com;2021/01/02;987;3
48 North Arch St.;289;371-6935;evans@hotmail.com;2006/02/03;988;1
818 North Ridge St.;534;741-5424;dgriffith@sbcglobal.net;2010/10/17;989;1
7 Hill Field St.;562;803-1918;sakusha@me.com;2005/04/21;990;1
13 4th Rd.;703;578-2309;starstuff@live.com;2011/10/04;991;1
308 Elmwood Ave.;394;282-3814;zeller@yahoo.com;2016/06/14;992;2
37 Sunbeam Lane;733;346-2538;parasite@comcast.net;2006/11/28;993;1
679 Philmont St.;350;800-2197;sherzodr@aol.com;2013/08/30;994;2
324 Augusta St.;853;698-8173;ajohnson@comcast.net;2010/04/04;995;2
7606 Alderwood Rd.;946;694-2288;hmbrand@optonline.net;2008/02/15;996;1
8672 S. Mechanic Dr.;718;641-6619;clkao@optonline.net;2016/02/01;997;3
20 Marvon Rd.;352;826-4955;kingma@mac.com;2016/05/12;998;2
116 Division Lane;473;640-7258;mahbub@mac.com;2018/08/10;999;1
